,city_state,population,lat,lng
2385,"Ocala, FL",164712.0,29.178,-82.1511
3157,"Manchester, NH",160742.0,42.9848,-71.4447
13498,"Hayward, CA",160500.0,37.6328,-122.0772
25038,"Muskegon, MI",160142.0,43.2281,-86.2562
12090,"Alexandria, VA",160035.0,38.8185,-77.0861
15928,"Springfield, IL",159394.0,39.771,-89.6537
18005,"Lafayette, IN",159293.0,40.399,-86.8593
4895,"Port Arthur, TX",157934.0,29.8554,-93.9264
13515,"Palmdale, CA",157519.0,34.5944,-118.1057
15692,"Champaign, IL",156794.0,40.1144,-88.2735
17350,"Gainesville, GA",156248.0,34.2902,-83.8303
11681,"Enterprise, NV",155773.0,36.0163,-115.2207
20583,"Frederick, MD",154972.0,39.4336,-77.4157
12602,"Lakewood, CO",154958.0,39.6977,-105.1168
14524,"Tuscaloosa, AL",154204.0,33.2348,-87.5266
13468,"Sunnyvale, CA",153656.0,37.3836,-122.0257
6254,"Lake Charles, LA",153633.0,30.2022,-93.2141
2112,"Hollywood, FL",153627.0,26.0294,-80.1679
4573,"Pasadena, TX",153520.0,29.6584,-95.1499
14054,"Pomona, CA",152939.0,34.0585,-117.7626
25679,"Kansas City, KS",152938.0,39.1234,-94.7443
17091,"Macon, GA",152663.0,32.8065,-83.6974
13436,"Escondido, CA",151969.0,33.1347,-117.0723
9319,"Binghamton, NY",150747.0,42.1014,-75.9093
17426,"Warner Robins, GA",149617.0,32.5975,-83.6526
19249,"New Bedford, MA",149528.0,41.6697,-70.9428
25960,"Topeka, KS",148960.0,39.0346,-95.6955
4714,"Beaumont, TX",148954.0,30.085,-94.1451
3463,"Paterson, NJ",148678.0,40.9147,-74.1624
16836,"Joliet, IL",148462.0,41.5189,-88.1499
2795,"Leesburg, FL",148161.0,28.7658,-81.8995
17579,"Elkhart, IN",148131.0,41.6912,-85.962
4869,"Odessa, TX",147810.0,31.8831,-102.3406
15731,"Naperville, IL",147682.0,41.7483,-88.1657
13261,"Fairfield, CA",147582.0,38.2594,-122.0319
13117,"Torrance, CA",146758.0,33.8346,-118.3417
2682,"Panama City, FL",145239.0,30.1995,-85.6003
5992,"Metairie, LA",144822.0,29.9976,-90.1781
149,"Bellevue, WA",144444.0,47.5953,-122.155
5711,"Midland, TX",144247.0,32.0249,-102.1137
27069,"Carolina, PR",144192.0,18.4054,-65.9792
13939,"Merced, CA",144117.0,37.3057,-120.4779
4786,"Mesquite, TX",143949.0,32.7623,-96.5889
5995,"Houma, LA",142969.0,29.5799,-90.7058
