,city_state,population
5248,"Frisco, TX",177286.0
20105,"Danbury, CT",177177.0
14021,"Hemet, CA",176892.0
13454,"Oceanside, CA",176193.0
13894,"Ontario, CA",175841.0
186,"Vancouver, WA",175673.0
13854,"Garden Grove, CA",174226.0
19904,"Nampa, ID",173863.0
12843,"Vallejo, CA",173844.0
13353,"Elk Grove, CA",171844.0
2602,"Pembroke Pines, FL",170712.0
27048,"Bayamón, PR",170245.0
28359,"Medford, OR",168219.0
19708,"Peoria, AZ",168181.0
13295,"Corona, CA",167836.0
8560,"Murfreesboro, TN",167055.0
230,"Marysville, WA",166541.0
6917,"Cary, NC",165904.0
12199,"Fredericksburg, VA",164976.0
2385,"Ocala, FL",164712.0
3157,"Manchester, NH",160742.0
13498,"Hayward, CA",160500.0
25038,"Muskegon, MI",160142.0
12090,"Alexandria, VA",160035.0
15928,"Springfield, IL",159394.0
18005,"Lafayette, IN",159293.0
4895,"Port Arthur, TX",157934.0
13515,"Palmdale, CA",157519.0
15692,"Champaign, IL",156794.0
17350,"Gainesville, GA",156248.0
11681,"Enterprise, NV",155773.0
20583,"Frederick, MD",154972.0
12602,"Lakewood, CO",154958.0
14524,"Tuscaloosa, AL",154204.0
13468,"Sunnyvale, CA",153656.0
6254,"Lake Charles, LA",153633.0
2112,"Hollywood, FL",153627.0
4573,"Pasadena, TX",153520.0
14054,"Pomona, CA",152939.0
25679,"Kansas City, KS",152938.0
17091,"Macon, GA",152663.0
13436,"Escondido, CA",151969.0
9319,"Binghamton, NY",150747.0
17426,"Warner Robins, GA",149617.0
19249,"New Bedford, MA",149528.0
25960,"Topeka, KS",148960.0
4714,"Beaumont, TX",148954.0
3463,"Paterson, NJ",148678.0
16836,"Joliet, IL",148462.0
2795,"Leesburg, FL",148161.0
17579,"Elkhart, IN",148131.0
4869,"Odessa, TX",147810.0
15731,"Naperville, IL",147682.0
13261,"Fairfield, CA",147582.0
13117,"Torrance, CA",146758.0
2682,"Panama City, FL",145239.0
5992,"Metairie, LA",144822.0
149,"Bellevue, WA",144444.0
5711,"Midland, TX",144247.0
27069,"Carolina, PR",144192.0
13939,"Merced, CA",144117.0
4786,"Mesquite, TX",143949.0
5995,"Houma, LA",142969.0
1608,"Charleston, WV",142858.0
13185,"Pasadena, CA",142647.0
12604,"Pueblo, CO",142351.0
5566,"Tyler, TX",141116.0
14042,"Orange, CA",140560.0
13992,"Fullerton, CA",140392.0
2879,"Miramar, FL",140328.0
13733,"Santa Maria, CA",140219.0
17334,"Athens, GA",140169.0
23891,"Columbia, MO",139945.0
19512,"Yuma, AZ",138802.0
25736,"Olathe, KS",137472.0
12412,"Thornton, CO",136978.0
5241,"Harlingen, TX",136968.0
12411,"Grand Junction, CO",136688.0
22864,"West Valley City, UT",136170.0
4933,"Carrollton, TX",135710.0
13176,"Roseville, CA",135329.0
25410,"Warren, MI",135022.0
15817,"Bloomington, IL",134892.0
12220,"Hampton, VA",134669.0
19365,"Surprise, AZ",134085.0
3851,"Las Cruces, NM",133988.0
12630,"Greeley, CO",133750.0
66,"Yakima, WA",133233.0
2684,"Coral Springs, FL",133037.0
24939,"Sterling Heights, MI",132631.0
27556,"Mauldin, SC",132402.0
1116,"Racine, WI",131467.0
20010,"Stamford, CT",130824.0
3211,"Elizabeth, NJ",130215.0
203,"Kent, WA",128458.0
6757,"Greenville, NC",128385.0
13130,"Simi Valley, CA",127864.0
6858,"Burlington, NC",127374.0
13217,"Santa Clara, CA",127134.0
8636,"Johnson City, TN",126589.0
12664,"Boulder, CO",126054.0
387,"Bellingham, WA",126015.0
15025,"Fort Smith, AR",125562.0
12274,"Lynchburg, VA",125004.0
1105,"Kenosha, WI",124888.0
13936,"East Los Angeles, CA",123905.0
25270,"South Lyon, MI",123850.0
4322,"Round Rock, TX",123678.0
13616,"Berkeley, CA",122324.0
26297,"Billings, MT",120800.0
27166,"Ponce, PR",120295.0
12948,"Redding, CA",120270.0
13279,"Yuba City, CA",120186.0
24157,"Duluth, MN",120101.0
4437,"Pearland, TX",119940.0
19219,"Leominster, MA",119400.0
25332,"Saginaw, MI",119336.0
19117,"Iowa City, IA",119091.0
12786,"Arvada, CO",118807.0
13129,"Seaside, CA",118110.0
8442,"Kingsport, TN",118001.0
23011,"Independence, MO",117306.0
2320,"Lehigh Acres, FL",116849.0
5849,"Richardson, TX",116783.0
24542,"Rochester, MN",116713.0
13432,"Gilroy, CA",116235.0
12885,"El Monte, CA",116109.0
27548,"Rock Hill, SC",115963.0
2353,"Clearwater, FL",115513.0
6150,"Monroe, LA",115462.0
696,"Dover, DE",115352.0
14259,"Carlsbad, CA",115330.0
20832,"Norman, OK",115065.0
5333,"Abilene, TX",114964.0
17652,"Bloomington, IN",114959.0
4224,"Texas City, TX",114546.0
13433,"Temecula, CA",114327.0
9824,"Utica, NY",114318.0
24756,"St. Cloud, MN",114225.0
22811,"St. George, UT",113906.0
22667,"West Jordan, UT",113905.0
12933,"Costa Mesa, CA",113825.0
2102,"Miami Gardens, FL",113750.0
19308,"Cambridge, MA",113630.0
2125,"Brandon, FL",113124.0
13531,"Downey, CA",113092.0
19910,"Coeur d'Alene, ID",112935.0
12827,"Westminster, CO",112812.0
16087,"Elgin, IL",112456.0
13116,"El Centro, CA",112145.0
18224,"Waterloo, IA",112060.0
19273,"Lowell, MA",111346.0
28312,"Gresham, OR",111053.0
27241,"North Charleston, SC",110861.0
14255,"San Buenaventura, CA",110790.0
12858,"Inglewood, CA",110598.0
2903,"Pompano Beach, FL",110473.0
12677,"Centennial, CO",110250.0
2892,"West Palm Beach, FL",110222.0
109,"Everett, WA",110079.0
4102,"Santa Fe, NM",110078.0
13971,"Richmond, CA",110040.0
13734,"Clovis, CA",109691.0
5595,"The Woodlands, TX",109608.0
11610,"Pottstown, PA",109437.0
7186,"Jacksonville, NC",108872.0
20716,"Broken Arrow, OK",108303.0
15459,"Burlington, VT",108277.0
13015,"West Covina, CA",107598.0
13528,"Turlock, CA",107208.0
13463,"Daly City, CA",107074.0
1340,"Eau Claire, WI",107068.0
28136,"Hillsboro, OR",106894.0
17476,"Sandy Springs, GA",106739.0
18910,"Sioux City, IA",106279.0
13884,"Chico, CA",106268.0
13611,"Norwalk, CA",106084.0
20259,"Salisbury, MD",106034.0
13787,"Jurupa Valley, CA",106028.0
4903,"Lewisville, TX",106021.0
12624,"Highlands Ranch, CO",105264.0
2788,"Davie, FL",105149.0
5724,"League City, TX",104903.0
13146,"Burbank, CA",104834.0
12993,"San Mateo, CA",104748.0
2304,"Spring Hill, FL",104722.0
13885,"El Cajon, CA",103894.0
13171,"Rialto, CA",103562.0
28376,"Bend, OR",103349.0
20625,"Columbia, MD",103170.0
12112,"Charlottesville, VA",102016.0
1259,"La Crosse, WI",101886.0
5377,"Temple, TX",101876.0
13179,"Vista, CA",101568.0
484,"Renton, WA",101379.0
11718,"Sparks, NV",100888.0
25431,"Holland, MI",100885.0
13124,"Vacaville, CA",100801.0
22697,"Logan, UT",100774.0
4788,"Allen, TX",100685.0
4687,"Longview, TX",100196.0
19847,"Meridian, ID",99926.0
4520,"San Angelo, TX",99890.0
4407,"Wichita Falls, TX",99617.0
12676,"Longmont, CO",99398.0
14067,"Manteca, CA",98736.0
14285,"Arden-Arcade, CA",98616.0
2900,"Boca Raton, FL",98150.0
261,"Spokane Valley, WA",97847.0
22895,"Orem, UT",97839.0
21840,"Middletown, OH",97762.0
13054,"Compton, CA",97612.0
19872,"Idaho Falls, ID",97548.0
28405,"Beaverton, OR",97514.0
7421,"Bismarck, ND",97457.0
25953,"Lawrence, KS",97341.0
19713,"Prescott Valley, AZ",97066.0
359,"Federal Way, WA",96690.0
13400,"San Marcos, CA",96198.0
3747,"Rio Rancho, NM",96159.0
22720,"Sandy, UT",96145.0
13375,"Tracy, CA",95982.0
19290,"Brockton, MA",95672.0
14018,"South Gate, CA",95430.0
13392,"Hesperia, CA",94859.0
17093,"Roswell, GA",94786.0
6040,"Mandeville, LA",94760.0
3405,"Vineland, NJ",94734.0
11836,"Portsmouth, VA",94572.0
25024,"Dearborn, MI",94491.0
2325,"Sunrise, FL",94323.0
19277,"Quincy, MA",94166.0
24896,"Livonia, MI",94105.0
19328,"Lynn, MA",94063.0
2083,"Plantation, FL",93909.0
6167,"Slidell, LA",93882.0
13345,"Carson, CA",92735.0
18060,"Terre Haute, IN",92722.0
12251,"Blacksburg, VA",92573.0
3152,"Portsmouth, NH",92513.0
2495,"Miami Beach, FL",92307.0
13703,"Santa Monica, CA",92306.0
3156,"Dover, NH",92234.0
17529,"Carmel, IN",92198.0
14115,"Hanford, CA",92066.0
12717,"Lafayette, CO",91985.0
20925,"Edmond, OK",91950.0
18129,"Fishers, IN",91832.0
14320,"Westminster, CA",91564.0
20582,"Germantown, MD",91447.0
20969,"Lawton, OK",91383.0
27416,"Florence, SC",91311.0
12994,"Livermore, CA",91030.0
19675,"San Tan Valley, AZ",90665.0
23008,"Lee's Summit, MO",90597.0
13953,"Menifee, CA",90595.0
14312,"San Leandro, CA",90553.0
17309,"Albany, GA",90515.0
28083,"Bowling Green, KY",90448.0
4475,"Edinburg, TX",90280.0
12184,"Suffolk, VA",90237.0
26322,"Missoula, MT",90218.0
13063,"Chino, CA",89797.0
14644,"Auburn, AL",89577.0
19257,"Fall River, MA",89420.0
20006,"Norwalk, CT",89005.0
15903,"Decatur, IL",88997.0
19213,"Newton, MA",88994.0
28663,"Rapid City, SD",88979.0
17738,"Muncie, IN",88688.0
280,"Kirkland, WA",88630.0
4491,"Sugar Land, TX",88485.0
11446,"State College, PA",88285.0
2231,"Riverview, FL",88191.0
2744,"Alafaya, FL",88025.0
13920,"Citrus Heights, CA",87931.0
13563,"Hawthorne, CA",87854.0
25080,"Jackson, MI",87819.0
16513,"Waukegan, IL",87729.0
23480,"O'Fallon, MO",87597.0
14297,"Napa, CA",87032.0
17025,"Dalton, GA",86841.0
13331,"Whittier, CA",86838.0
13842,"Redwood City, CA",86685.0
27438,"Mount Pleasant, SC",86668.0
3674,"Clifton, NJ",86607.0
17651,"Anderson, IN",86481.0
23414,"Joplin, MO",86298.0
13215,"Newport Beach, CA",86160.0
24301,"Bloomington, MN",85866.0
13979,"Alhambra, CA",85396.0
14528,"Hoover, AL",84920.0
2103,"Largo, FL",84754.0
5150,"Mission, TX",84424.0
5284,"Conroe, TX",84378.0
17020,"Johns Creek, GA",84350.0
13212,"Lake Forest, CA",84293.0
5166,"Bryan, TX",84021.0
2756,"Town 'n' Country, FL",83879.0
25257,"Port Huron, MI",83841.0
25110,"Troy, MI",83813.0
12836,"Madera, CA",83636.0
21773,"Springfield, OH",83286.0
14045,"Buena Park, CA",83015.0
13011,"Pleasanton, CA",83007.0
16731,"Cicero, IL",82552.0
6089,"Alexandria, LA",82131.0
2660,"Melbourne, FL",82011.0
25242,"Westland, MI",81747.0
13479,"Mountain View, CA",81438.0
19214,"Somerville, MA",81360.0
11642,"Cranston, RI",81202.0
25203,"Farmington Hills, MI",81050.0
26638,"Hattiesburg, MS",81036.0
13593,"Lakewood, CA",80967.0
11647,"Warwick, RI",80871.0
12255,"Williamsburg, VA",80855.0
23904,"St. Joseph, MO",80818.0
343,"Auburn, WA",80776.0
24648,"Brooklyn Park, MN",80581.0
2908,"Deerfield Beach, FL",80571.0
13965,"Tustin, CA",80498.0
16696,"Alton, IL",80462.0
13310,"Chino Hills, CA",80374.0
19269,"Lawrence, MA",80162.0
5114,"Texarkana, TX",80145.0
9460,"New Rochelle, NY",79946.0
2239,"Fort Myers, FL",79943.0
